Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
38,tt1504320,2026-05-23,2026-05-23,,"The King's Speech","The King's Speech",https://www.imdb.com/title/tt1504320/,Movie,8.0,118,2010,"Biography, Drama, History",734085,2010-12-25,"Tom Hooper",,
39,tt0081505,2026-05-23,2026-05-23,,"The Shining","The Shining",https://www.imdb.com/title/tt0081505/,Movie,8.4,146,1980,"Drama, Horror",1230508,1980-06-13,"Stanley Kubrick",,
40,tt1022603,2026-05-23,2026-05-23,,"500 Days of Summer","(500) Days of Summer",https://www.imdb.com/title/tt1022603/,Movie,7.6,95,2009,"Comedy, Drama, Romance",621342,2009-08-07,"Marc Webb",,
41,tt1045658,2026-05-23,2026-05-23,,"Silver Linings Playbook","Silver Linings Playbook",https://www.imdb.com/title/tt1045658/,Movie,7.7,122,2012,"Comedy, Drama, Romance",774610,2012-12-25,"David O. Russell",,
42,tt1979320,2026-05-23,2026-05-23,,"Rush","Rush",https://www.imdb.com/title/tt1979320/,Movie,8.1,123,2013,"Biography, Drama, Sport",561212,2013-09-27,"Ron Howard",,
43,tt1895587,2026-05-23,2026-05-23,,"Spotlight","Spotlight",https://www.imdb.com/title/tt1895587/,Movie,8.1,129,2015,"Biography, Crime, Drama",536888,2015-11-20,"Tom McCarthy",,
44,tt0107290,2026-05-23,2026-05-23,,"Jurassic Park","Jurassic Park",https://www.imdb.com/title/tt0107290/,Movie,8.2,127,1993,"Adventure, Sci-Fi",1183191,1993-06-11,"Steven Spielberg",,
45,tt0361748,2026-05-23,2026-05-23,,"Inglourious Basterds","Inglourious Basterds",https://www.imdb.com/title/tt0361748/,Movie,8.4,153,2009,"Drama, War",1793174,2009-08-21,"Quentin Tarantino",,
46,tt1853728,2026-05-23,2026-05-23,,"Django Unchained","Django Unchained",https://www.imdb.com/title/tt1853728/,Movie,8.5,165,2012,"Drama, Western",1891170,2012-12-25,"Quentin Tarantino",,
47,tt0245429,2026-05-23,2026-05-23,,"Spirited Away","Sen to Chihiro no kamikakushi",https://www.imdb.com/title/tt0245429/,Movie,8.6,124,2001,"Animation, Adventure, Family, Fantasy",972365,2003-03-28,"Hayao Miyazaki",,
